waktu,kota,weather_code,suhu,suhu_terasa,kelembapan,kecepatan_angin,curah_hujan,cloudiness
2026-05-24T00:00,Node_Warkop_Kusuma,0,24.6,29.4,94,6.9,0.0,13
2026-05-24T01:00,Node_Warkop_Kusuma,0,24.3,28.8,93,7.3,0.0,2
2026-05-24T02:00,Node_Warkop_Kusuma,0,23.9,28.4,94,6.0,0.0,2
2026-05-24T03:00,Node_Warkop_Kusuma,0,23.5,27.9,96,6.2,0.0,2
2026-05-24T04:00,Node_Warkop_Kusuma,0,23.5,27.7,95,7.1,0.0,2
2026-05-24T05:00,Node_Warkop_Kusuma,0,23.2,27.5,96,6.7,0.0,3
2026-05-24T06:00,Node_Warkop_Kusuma,0,23.0,27.3,97,7.0,0.0,9
2026-05-24T07:00,Node_Warkop_Kusuma,0,25.0,29.6,89,6.6,0.0,0
2026-05-24T08:00,Node_Warkop_Kusuma,1,26.8,31.5,81,5.6,0.0,32
2026-05-24T09:00,Node_Warkop_Kusuma,2,28.6,33.4,72,4.9,0.0,63
2026-05-24T10:00,Node_Warkop_Kusuma,3,30.0,35.6,64,2.1,0.0,85
2026-05-24T11:00,Node_Warkop_Kusuma,51,30.6,36.4,61,3.1,0.2,79
2026-05-24T12:00,Node_Warkop_Kusuma,51,31.0,37.5,61,2.2,0.2,91
2026-05-24T13:00,Node_Warkop_Kusuma,51,31.4,38.2,62,2.1,0.3,96
2026-05-24T14:00,Node_Warkop_Kusuma,80,26.5,30.9,89,13.4,1.8,91
2026-05-24T15:00,Node_Warkop_Kusuma,53,26.8,32.4,86,4.0,0.9,82
2026-05-24T16:00,Node_Warkop_Kusuma,51,27.5,32.9,82,5.2,0.3,80
2026-05-24T17:00,Node_Warkop_Kusuma,51,26.6,31.9,84,4.6,0.2,96
2026-05-24T18:00,Node_Warkop_Kusuma,51,25.7,31.1,92,5.8,0.3,79
2026-05-24T19:00,Node_Warkop_Kusuma,51,25.4,30.6,95,7.7,0.1,83
2026-05-24T20:00,Node_Warkop_Kusuma,51,24.9,30.0,97,8.0,0.2,97
2026-05-24T21:00,Node_Warkop_Kusuma,3,24.6,30.4,98,2.9,0.0,91
2026-05-24T22:00,Node_Warkop_Kusuma,2,24.1,30.0,100,2.2,0.0,76
2026-05-24T23:00,Node_Warkop_Kusuma,3,24.0,29.7,100,1.9,0.0,93
2026-05-25T00:00,Node_Warkop_Kusuma,1,24.3,29.8,96,2.8,0.0,23
2026-05-25T01:00,Node_Warkop_Kusuma,0,24.6,29.1,92,7.6,0.0,10
2026-05-25T02:00,Node_Warkop_Kusuma,0,24.1,28.3,93,8.9,0.0,6
2026-05-25T03:00,Node_Warkop_Kusuma,0,23.9,27.8,93,9.3,0.0,2
2026-05-25T04:00,Node_Warkop_Kusuma,0,23.8,27.4,92,9.7,0.0,5
2026-05-25T05:00,Node_Warkop_Kusuma,2,23.5,27.1,92,9.4,0.0,54
2026-05-25T06:00,Node_Warkop_Kusuma,2,23.4,26.9,93,10.9,0.0,65
2026-05-25T07:00,Node_Warkop_Kusuma,2,25.1,29.3,89,9.4,0.0,70
2026-05-25T08:00,Node_Warkop_Kusuma,2,26.6,30.9,83,10.1,0.0,58
2026-05-25T09:00,Node_Warkop_Kusuma,1,28.4,32.6,74,9.9,0.0,25
2026-05-25T10:00,Node_Warkop_Kusuma,1,29.7,34.5,66,7.8,0.0,26
2026-05-25T11:00,Node_Warkop_Kusuma,51,30.7,36.0,61,7.0,0.1,54
2026-05-25T12:00,Node_Warkop_Kusuma,51,30.9,35.8,60,9.6,0.2,41
2026-05-25T13:00,Node_Warkop_Kusuma,53,30.7,35.3,61,11.7,0.5,58
2026-05-25T14:00,Node_Warkop_Kusuma,53,29.4,33.6,68,13.0,0.5,88
2026-05-25T15:00,Node_Warkop_Kusuma,53,28.3,32.1,75,13.9,0.9,92
2026-05-25T16:00,Node_Warkop_Kusuma,51,28.4,32.1,76,14.9,0.4,65
2026-05-25T17:00,Node_Warkop_Kusuma,3,27.5,31.1,78,14.0,0.0,80
2026-05-25T18:00,Node_Warkop_Kusuma,2,26.3,29.5,81,15.2,0.0,69
2026-05-25T19:00,Node_Warkop_Kusuma,2,25.7,29.4,84,11.8,0.0,57
2026-05-25T20:00,Node_Warkop_Kusuma,2,25.1,30.7,89,0.3,0.0,55
2026-05-25T21:00,Node_Warkop_Kusuma,2,24.0,28.4,95,8.5,0.0,65
2026-05-25T22:00,Node_Warkop_Kusuma,2,22.9,26.8,98,9.0,0.0,68
2026-05-25T23:00,Node_Warkop_Kusuma,1,22.6,26.6,97,6.5,0.0,35
2026-05-26T00:00,Node_Warkop_Kusuma,0,22.5,26.7,96,4.0,0.0,11
2026-05-26T01:00,Node_Warkop_Kusuma,1,22.3,26.9,97,1.5,0.0,30
2026-05-26T02:00,Node_Warkop_Kusuma,1,22.2,26.7,98,2.8,0.0,26
2026-05-26T03:00,Node_Warkop_Kusuma,1,22.2,26.4,98,4.9,0.0,46
2026-05-26T04:00,Node_Warkop_Kusuma,3,22.1,26.3,100,5.8,0.0,100
2026-05-26T05:00,Node_Warkop_Kusuma,3,22.2,26.3,100,6.7,0.0,100
2026-05-26T06:00,Node_Warkop_Kusuma,3,22.5,26.6,99,7.4,0.0,100
2026-05-26T07:00,Node_Warkop_Kusuma,2,23.6,27.8,96,8.5,0.0,69
2026-05-26T08:00,Node_Warkop_Kusuma,2,25.7,29.7,83,8.5,0.0,51
2026-05-26T09:00,Node_Warkop_Kusuma,2,27.5,31.4,74,8.6,0.0,78
